gene,group,mAP
CNOT7,Compartment hit,0.06746031746031746
COPA,Compartment hit,0.2152777777777778
COQ5,Compartment hit,0.5972222222222222
COX8A,Compartment hit,0.42291666666666666
CRY1,Compartment hit,0.16964285714285715
CYB561A3,Compartment hit,0.37777777777777777
DARS2,Compartment hit,0.2550595238095238
DLG1,Compartment hit,0.24999999999999997
DOCK2,Compartment hit,0.18630952380952379
DPM3,Compartment hit,0.5079365079365079
DVL1,Compartment hit,0.6989087301587301
EIF2D,Compartment hit,0.6458333333333333
EIF3E,Compartment hit,0.21825396825396826
EIF4A2,Compartment hit,0.318287037037037
EML3,Compartment hit,0.2515873015873016
ESRP2,Compartment hit,0.6384920634920636
ETFA,Compartment hit,0.23541666666666666
GABARAPL1,Compartment hit,0.21375661375661376
GOLGA1,Compartment hit,0.1287037037037037
HAUS1,Compartment hit,0.08134920634920634
HAUS8,Compartment hit,0.10972222222222222
HDAC2,Compartment hit,0.35185185185185186
HDGFL2,Compartment hit,0.3333333333333333
IARS2,Compartment hit,0.5
ISL1,Compartment hit,0.24166666666666664
ITFG2,Compartment hit,0.31111111111111106
JTB,Compartment hit,0.5444444444444444
M6PR,Compartment hit,0.5249999999999999
MAP1S,Compartment hit,0.23214285714285715
MCM3AP,Compartment hit,0.15773809523809523
MCOLN1,Compartment hit,0.43201058201058196
MED1,Compartment hit,0.28935185185185186
MFSD3,Compartment hit,0.19325396825396826
MRNIP,Compartment hit,0.4541666666666666
MRPL1,Compartment hit,0.11851851851851852
MRPL27,Compartment hit,0.6666666666666666
MRPL33,Compartment hit,0.5
MRPL37,Compartment hit,0.1986111111111111
MRPL49,Compartment hit,0.6229166666666667
MRPS15,Compartment hit,0.16666666666666666
MRPS26,Compartment hit,0.2222222222222222
MRPS9,Compartment hit,0.41269841269841273
NAMPT,Compartment hit,0.7474206349206349
NBR1,Compartment hit,0.2849206349206349
NCSTN,Compartment hit,0.3125
NDUFA4,Compartment hit,0.39847883597883593
NDUFA7,Compartment hit,0.30925925925925923
NDUFAF7,Compartment hit,0.525
NDUFB7,Compartment hit,0.29166666666666663
NDUFS2,Compartment hit,0.53125
NDUFS3,Compartment hit,0.3773809523809524
NPRL3,Compartment hit,1.0
OAZ1,Compartment hit,0.35277777777777775
OST4,Compartment hit,0.5
PEX13,Compartment hit,0.5297619047619048
PEX16,Compartment hit,0.4550925925925926
PEX19,Compartment hit,0.24305555555555552
PINK1,Compartment hit,0.5164351851851853
PPWD1,Compartment hit,0.1195436507936508
PRPF38A,Compartment hit,0.17013888888888887
PSMA4,Compartment hit,0.10416666666666666
PSMB1,Compartment hit,0.04444444444444444
PSMB10,Compartment hit,0.5
PSMB8,Compartment hit,0.18796296296296297
RAB11B,Compartment hit,0.2972222222222222
RAB2B,Compartment hit,0.20214947089947088
RAB3GAP1,Compartment hit,0.5
RABL3,Compartment hit,0.5264550264550264
RIF1,Compartment hit,0.6653439153439153
RPL35,Compartment hit,0.6666666666666667
RPL36A,Compartment hit,0.22566137566137567
RPL39L,Compartment hit,0.34722222222222215
RPS3,Compartment hit,0.14166666666666666
RPS6KA1,Compartment hit,0.4231481481481481
RPS6KB2,Compartment hit,0.2361111111111111
SART1,Compartment hit,0.19444444444444442
SEH1L,Compartment hit,0.5
SMARCAD1,Compartment hit,0.5034722222222222
SMG9,Compartment hit,0.5079365079365079
SNRNP48,Compartment hit,0.11805555555555554
SNRPB,Compartment hit,0.2583333333333333
SP3,Compartment hit,0.8333333333333333
SPCS1,Compartment hit,0.3555555555555555
SPIDR,Compartment hit,0.5
SSR1,Compartment hit,0.41805555555555557
STAM,Compartment hit,0.016666666666666666
STX5,Compartment hit,0.5
SUPT7L,Compartment hit,0.4722222222222222
TBC1D23,Compartment hit,0.2583333333333333
TMEM106B,Compartment hit,0.3472222222222222
UBE2T,Compartment hit,0.21527777777777773
UBQLN2,Compartment hit,0.41388888888888886
UCP2,Compartment hit,0.60625
USP1,Compartment hit,1.0
WARS2,Compartment hit,0.14675925925925926
YWHAH,Compartment hit,0.4722222222222222
AARS2,Non hit,0.4444444444444444
AARSD1,Non hit,0.016666666666666666
ABLIM1,Non hit,0.14976851851851852
AIMP1,Non hit,0.1529761904761905
AIMP2,Non hit,0.08333333333333333
ALKBH7,Non hit,0.32638888888888884
ANKRD13A,Non hit,0.010416666666666666
APEX1,Non hit,0.0619047619047619
ARFGAP3,Non hit,0.25575396825396823
ARPC1A,Non hit,0.5054232804232804
ARPC5L,Non hit,0.4468253968253968
ATF3,Non hit,0.11607142857142856
ATP6V0E2,Non hit,0.025925925925925925
ATRIP,Non hit,0.594047619047619
ATXN3,Non hit,0.2876984126984127
BAK1,Non hit,0.31051587301587297
BARD1,Non hit,0.48958333333333326
BCL2L1,Non hit,0.7166666666666667
BEX3,Non hit,0.3898809523809524
CALM1,Non hit,0.30648148148148147
CBX3,Non hit,0.3796296296296296
CCNI,Non hit,0.16666666666666666
CD5L,Non hit,0.09375
CD93,Non hit,0.19768518518518519
CDC23,Non hit,0.041666666666666664
CDC6,Non hit,0.09999999999999999
CDK2AP2,Non hit,0.016666666666666666
CDK4,Non hit,0.13541666666666666
CDX4,Non hit,0.29166666666666663
CEACAM4,Non hit,0.16375661375661374
CELA3A,Non hit,0.3388888888888889
CHM,Non hit,0.31395502645502643
CLCN3,Non hit,0.008333333333333333
CLDN17,Non hit,0.650462962962963
CLGN,Non hit,0.075
CNOT6,Non hit,0.07291666666666667
COA3,Non hit,0.0
COA5,Non hit,0.28988095238095235
COMMD1,Non hit,0.21666666666666667
COPG2,Non hit,0.09999999999999999
COQ10A,Non hit,0.048611111111111105
COQ10B,Non hit,0.041666666666666664
COX18,Non hit,0.21990740740740738
CPT1B,Non hit,0.15317460317460319
CXCL9,Non hit,0.7902777777777777
CYB5A,Non hit,0.15208333333333332
DDA1,Non hit,0.3333333333333333
DEFB119,Non hit,0.34325396825396826
DEFB127,Non hit,0.16944444444444445
DEFB128,Non hit,0.01875
DEFB131A,Non hit,0.008333333333333333
DENND4B,Non hit,0.43998015873015867
DHX8,Non hit,0.016666666666666666
DONSON,Non hit,0.1601851851851852
ECI1,Non hit,0.24999999999999997
ECSIT,Non hit,0.16666666666666666
EIF4EBP2,Non hit,0.037037037037037035
ESX1,Non hit,0.3101851851851852
ESYT1,Non hit,0.175
ETFB,Non hit,0.09067460317460317
EXOSC3,Non hit,0.061309523809523814
EYA4,Non hit,0.009259259259259259
FAM71A,Non hit,0.10833333333333332
FNBP1L,Non hit,0.03273809523809523
FOLR1,Non hit,0.08333333333333333
GAPVD1,Non hit,0.3333333333333333
GORASP1,Non hit,0.01875
GPR119,Non hit,0.3125
HAUS4,Non hit,0.17658730158730157
HIBCH,Non hit,0.2708333333333333
HIF1A,Non hit,0.12638888888888888
HLA-B,Non hit,0.021164021164021163
HMCES,Non hit,0.15416666666666665
HSFY1,Non hit,0.1111111111111111
ID2,Non hit,0.057870370370370364
IFNA16,Non hit,0.31663359788359785
IFT22,Non hit,0.5625
IGF2BP1,Non hit,0.07867063492063492
IMPACT,Non hit,0.09999999999999999
KIF20B,Non hit,0.09930555555555556
KPNA1,Non hit,0.09722222222222222
KRTAP22-1,Non hit,0.3111111111111111
LAMTOR1,Non hit,0.2185185185185185
LCE2B,Non hit,0.22083333333333333
LHX9,Non hit,0.18541666666666667
LTA4H,Non hit,0.18015873015873018
MAGOH,Non hit,0.7458333333333333
MAGOHB,Non hit,0.11944444444444444
MBL2,Non hit,0.07589285714285714
MCM10,Non hit,0.14166666666666666
MDC1,Non hit,0.2962962962962963
MLH1,Non hit,0.26296296296296295
MMP27,Non hit,0.049999999999999996
MRPL2,Non hit,0.16666666666666666
MRPL24,Non hit,0.32946428571428565
MRPL36,Non hit,0.16666666666666666
MRPL55,Non hit,0.25
MRPS5,Non hit,0.4444444444444444
MSH6,Non hit,0.1656084656084656
MSTO1,Non hit,0.15
MTIF2,Non hit,0.1597222222222222
NDUFA12,Non hit,0.04259259259259259
NDUFAF6,Non hit,0.12037037037037036
NDUFB3,Non hit,0.37222222222222223
NDUFC2,Non hit,0.2674603174603174
NFKBIA,Non hit,0.2212962962962963
NHEJ1,Non hit,0.016666666666666666
NHLH2,Non hit,0.3333333333333333
NPRL2,Non hit,0.6672619047619047
NPVF,Non hit,0.25
OIP5,Non hit,0.14236111111111108
OPRPN,Non hit,0.30542328042328043
OR10H3,Non hit,0.025793650793650792
OR2G3,Non hit,0.42460317460317454
OR4C5,Non hit,0.05092592592592592
OR7D4,Non hit,0.17857142857142855
PACS2,Non hit,0.2152777777777778
PAIP1,Non hit,0.18333333333333332
PAPSS1,Non hit,0.09166666666666666
PAPSS2,Non hit,0.027777777777777776
PFDN5,Non hit,0.38888888888888884
PHAX,Non hit,0.21180555555555552
PIP4K2A,Non hit,0.14166666666666666
PMAIP1,Non hit,0.11458333333333333
PPA2,Non hit,0.032407407407407406
PPIF,Non hit,0.22916666666666666
PPP1CC,Non hit,0.5
PPP1R10,Non hit,0.4055555555555555
PRDX6,Non hit,0.013888888888888888
PRR30,Non hit,0.14047619047619048
PRY2,Non hit,0.24880952380952379
PSEN1,Non hit,0.26607142857142857
PSMA1,Non hit,0.08333333333333333
PSMA2,Non hit,0.011904761904761904
PSMA5,Non hit,0.016666666666666666
PSMC1,Non hit,0.024305555555555552
PSMD7,Non hit,0.11342592592592592
PSME4,Non hit,0.425
RAB27A,Non hit,0.20529100529100527
RAB3IP,Non hit,0.26388888888888884
RAB4A,Non hit,0.10879629629629628
REXO4,Non hit,0.09999999999999999
RFPL3,Non hit,0.7881944444444444
RFTN1,Non hit,0.18333333333333335
RPL22,Non hit,0.3054232804232804
RPL22L1,Non hit,0.073015873015873
RPL26L1,Non hit,0.025925925925925925
RPS10-NUDT3,Non hit,0.048611111111111105
RPS20,Non hit,0.26666666666666666
RPS27L,Non hit,0.4677579365079365
RPS6KA3,Non hit,0.8357142857142857
RUFY2,Non hit,0.12499999999999999
SASS6,Non hit,0.058333333333333334
SCARB2,Non hit,0.37499999999999994
SCGB1D1,Non hit,0.21329365079365076
SCLY,Non hit,0.1863425925925926
SEC11C,Non hit,0.010416666666666666
SELENOV,Non hit,0.06874999999999999
SF3B1,Non hit,0.11203703703703705
SIRPD,Non hit,0.18650793650793646
SLC15A4,Non hit,0.10416666666666666
SLC25A27,Non hit,0.09652777777777777
SLC9A6,Non hit,0.19722222222222222
SLC9B2,Non hit,0.20648148148148146
SMR3A,Non hit,0.08412698412698412
SNAP47,Non hit,0.0537037037037037
SNRNP27,Non hit,0.10297619047619047
SNTN,Non hit,0.0
SPAST,Non hit,0.3264880952380952
SPATA48,Non hit,0.019675925925925923
SPO11,Non hit,0.03042328042328042
SPRR2G,Non hit,0.11375661375661376
SRD5A1,Non hit,0.36342592592592593
STX10,Non hit,0.22797619047619047
STX6,Non hit,0.3333333333333333
STX7,Non hit,0.20300925925925925
SYTL4,Non hit,0.029166666666666667
TBL1Y,Non hit,0.08333333333333333
TCIRG1,Non hit,0.22916666666666663
TECPR1,Non hit,0.33796296296296297
TERF2IP,Non hit,0.19166666666666665
TFAP2D,Non hit,0.041666666666666664
TMEM126B,Non hit,0.008333333333333333
TOMM5,Non hit,0.15208333333333332
TOMM6,Non hit,0.125
TOMM7,Non hit,0.33194444444444443
TSFM,Non hit,0.1925925925925926
TUBA1A,Non hit,0.05357142857142857
TUBG2,Non hit,0.1111111111111111
USB1,Non hit,0.11249999999999999
USP33,Non hit,0.21111111111111108
VDAC2,Non hit,0.08888888888888889
VPS4B,Non hit,0.17857142857142855
VTI1A,Non hit,0.025
WDFY3,Non hit,0.22083333333333333
WFDC8,Non hit,0.28703703703703703
XPC,Non hit,0.3496031746031746
AARS2,All gene,0.4444444444444444
AARSD1,All gene,0.016666666666666666
ABCF1,All gene,0.6273809523809524
ABLIM1,All gene,0.14976851851851852
ACTR2,All gene,0.9666666666666667
ACTR3,All gene,1.0
ADAR,All gene,0.2013888888888889
AIMP1,All gene,0.1529761904761905
AIMP2,All gene,0.08333333333333333
ALG13,All gene,0.9791666666666666
ALG5,All gene,1.0
ALG6,All gene,1.0
ALG8,All gene,0.5972222222222222
ALKBH7,All gene,0.32638888888888884
ANAPC10,All gene,0.38888888888888884
ANKRD13A,All gene,0.010416666666666666
ANXA2,All gene,0.8571428571428571
AP3S1,All gene,0.3430555555555555
APEX1,All gene,0.0619047619047619
ARF4,All gene,1.0
ARFGAP3,All gene,0.25575396825396823
ARNTL,All gene,0.4895833333333333
ARPC1A,All gene,0.5054232804232804
ARPC1B,All gene,0.2569444444444444
ARPC2,All gene,0.9666666666666667
ARPC3,All gene,1.0
ARPC4,All gene,1.0
ARPC5,All gene,0.3821428571428572
ARPC5L,All gene,0.4468253968253968
ATF3,All gene,0.11607142857142856
ATF4,All gene,0.8611111111111112
ATG14,All gene,0.9458333333333333
ATIC,All gene,0.75
ATL2,All gene,1.0
ATP6V0A1,All gene,0.21111111111111108
ATP6V0B,All gene,1.0
ATP6V0C,All gene,1.0
ATP6V0D1,All gene,0.9458333333333333
ATP6V0E1,All gene,0.17539682539682538
ATP6V0E2,All gene,0.025925925925925925
ATP6V1H,All gene,1.0
ATRIP,All gene,0.594047619047619
ATXN3,All gene,0.2876984126984127
AURKB,All gene,0.013888888888888888
BAK1,All gene,0.31051587301587297
BANP,All gene,0.10185185185185186
BARD1,All gene,0.48958333333333326
BCL2L1,All gene,0.7166666666666667
BEX3,All gene,0.3898809523809524
BOD1,All gene,0.058333333333333334
BOD1L1,All gene,0.6458333333333333
BRAP,All gene,0.32936507936507936
CALM1,All gene,0.30648148148148147
CANX,All gene,0.625
CASC3,All gene,0.5388888888888889
CAT,All gene,0.3416666666666667
CBX3,All gene,0.3796296296296296
CCNI,All gene,0.16666666666666666
CCT4,All gene,0.10899470899470899
CD5L,All gene,0.09375
CD93,All gene,0.19768518518518519
CDC23,All gene,0.041666666666666664
CDC6,All gene,0.09999999999999999
CDC73,All gene,0.7499999999999999
CDCA2,All gene,0.6904761904761905
CDK13,All gene,1.0
CDK2AP2,All gene,0.016666666666666666
CDK4,All gene,0.13541666666666666
CDX4,All gene,0.29166666666666663
CEACAM4,All gene,0.16375661375661374
CEBPG,All gene,0.27232142857142855
CELA3A,All gene,0.3388888888888889
CENPK,All gene,0.28194444444444444
CHM,All gene,0.31395502645502643
CHMP4B,All gene,0.15625
CHMP6,All gene,0.5629960317460316
CHP1,All gene,0.5416666666666666
CIAO1,All gene,1.0
CIT,All gene,0.7652777777777777
CLCN3,All gene,0.008333333333333333
CLDN17,All gene,0.650462962962963
CLGN,All gene,0.075
CNOT6,All gene,0.07291666666666667
CNOT7,All gene,0.06746031746031746
COA3,All gene,0.0
COA5,All gene,0.28988095238095235
COG3,All gene,0.7916666666666666
COG4,All gene,1.0
COMMD1,All gene,0.21666666666666667
COPA,All gene,0.2152777777777778
COPG2,All gene,0.09999999999999999
COPZ1,All gene,0.2638888888888889
COQ10A,All gene,0.048611111111111105
COQ10B,All gene,0.041666666666666664
COQ5,All gene,0.5972222222222222
COX14,All gene,0.5416666666666666
COX17,All gene,0.8541666666666666
COX18,All gene,0.21990740740740738
COX4I1,All gene,1.0
COX7B,All gene,0.6736111111111112
COX7C,All gene,0.6001984126984127
COX8A,All gene,0.42291666666666666
CPSF1,All gene,0.9416666666666667
CPSF3,All gene,1.0
CPSF6,All gene,1.0
CPT1B,All gene,0.15317460317460319
CRKL,All gene,1.0
CRY1,All gene,0.16964285714285715
