Gene,DAPI,Phalloidin,WGA,ConA,Mito,Sum
CRKL,140.0,20.0,25.0,24.0,81.0,351.0
CSE1L,13.0,4.0,10.0,10.0,26.0,65.0
CYCS,38.0,2.0,2.0,4.0,9.0,61.0
DCTN5,27.0,10.0,11.0,16.0,29.0,101.0
DDA1,8.0,2.0,2.0,3.0,3.0,22.0
DDX6,140.0,14.0,14.0,11.0,41.0,258.0
DHX35,43.0,7.0,4.0,2.0,20.0,103.0
DHX8,20.0,2.0,2.0,0.0,7.0,35.0
DNA2,29.0,3.0,0.0,1.0,7.0,47.0
DNAJC24,10.0,0.0,1.0,1.0,7.0,22.0
DNM1L,63.0,18.0,20.0,21.0,60.0,213.0
DPH2,20.0,1.0,4.0,1.0,12.0,41.0
DRG2,19.0,7.0,6.0,3.0,10.0,49.0
DYNLL1,132.0,17.0,21.0,20.0,55.0,295.0
EEF1G,142.0,24.0,23.0,24.0,82.0,359.0
EEF2,66.0,8.0,10.0,8.0,32.0,127.0
EIF2AK4,9.0,2.0,2.0,3.0,6.0,30.0
EIF2B1,39.0,6.0,10.0,7.0,36.0,110.0
EIF2B2,80.0,16.0,18.0,16.0,51.0,217.0
EIF2B3,13.0,5.0,4.0,4.0,12.0,44.0
EIF2B5,82.0,14.0,18.0,20.0,45.0,199.0
EIF2S3,17.0,7.0,8.0,11.0,21.0,67.0
EIF3C,13.0,1.0,3.0,2.0,13.0,39.0
EIF3E,3.0,3.0,0.0,3.0,14.0,25.0
EIF3H,17.0,2.0,1.0,4.0,8.0,38.0
EIF3L,78.0,12.0,15.0,14.0,51.0,203.0
EIF4A1,54.0,10.0,10.0,8.0,22.0,104.0
EIF4B,20.0,4.0,1.0,3.0,1.0,48.0
EIF4E,132.0,20.0,22.0,20.0,64.0,306.0
EIF4EBP1,31.0,11.0,9.0,5.0,14.0,70.0
EIF5,50.0,16.0,20.0,17.0,33.0,151.0
EML3,6.0,1.0,3.0,6.0,9.0,33.0
ENO1,40.0,11.0,9.0,11.0,33.0,135.0
EPC1,28.0,17.0,15.0,12.0,46.0,115.0
ESRP2,2.0,2.0,1.0,1.0,15.0,25.0
EXOC3,27.0,4.0,7.0,9.0,38.0,95.0
EXOSC3,4.0,4.0,4.0,0.0,11.0,24.0
FANCI,17.0,6.0,0.0,1.0,9.0,41.0
FGFR1,18.0,9.0,5.0,3.0,17.0,54.0
FIP1L1,9.0,4.0,5.0,5.0,7.0,42.0
GCN1,19.0,4.0,3.0,0.0,10.0,61.0
GDI2,5.0,1.0,2.0,0.0,13.0,26.0
GINS1,159.0,22.0,15.0,19.0,70.0,305.0
GSPT1,8.0,3.0,5.0,2.0,5.0,24.0
GSR,25.0,8.0,5.0,8.0,13.0,57.0
HAUS3,24.0,0.0,1.0,1.0,9.0,55.0
HDAC3,29.0,19.0,12.0,14.0,41.0,126.0
HSP90B1,148.0,22.0,24.0,25.0,89.0,366.0
HYOU1,69.0,14.0,14.0,17.0,46.0,170.0
IARS2,4.0,1.0,1.0,1.0,12.0,22.0
INO80,82.0,12.0,15.0,10.0,37.0,182.0
INTS14,30.0,6.0,1.0,1.0,9.0,48.0
INTS7,24.0,7.0,3.0,4.0,10.0,47.0
ITGAV,134.0,19.0,21.0,22.0,73.0,291.0
ITGB1,155.0,22.0,27.0,26.0,96.0,388.0
ITGB5,120.0,25.0,24.0,25.0,85.0,311.0
ITPK1,13.0,5.0,0.0,0.0,6.0,39.0
KATNA1,84.0,22.0,20.0,20.0,45.0,225.0
KCTD10,11.0,1.0,4.0,2.0,10.0,38.0
KDM1A,40.0,6.0,4.0,4.0,13.0,65.0
KDM5A,17.0,0.0,2.0,0.0,6.0,29.0
KIF5B,39.0,18.0,18.0,14.0,70.0,172.0
KPNA6,27.0,3.0,2.0,5.0,10.0,49.0
LAMTOR3,59.0,16.0,15.0,9.0,47.0,151.0
MAD1L1,26.0,2.0,2.0,0.0,9.0,58.0
MAP1LC3B,11.0,0.0,0.0,1.0,4.0,24.0
MAPK3,9.0,1.0,1.0,3.0,4.0,33.0
MCM3,21.0,4.0,3.0,4.0,4.0,37.0
MCM5,73.0,15.0,13.0,10.0,31.0,146.0
MED12,157.0,25.0,21.0,19.0,65.0,330.0
MED17,14.0,3.0,3.0,1.0,6.0,28.0
MED8,15.0,3.0,7.0,7.0,11.0,49.0
MED9,6.0,3.0,3.0,1.0,7.0,28.0
MFN2,12.0,11.0,11.0,10.0,24.0,91.0
MFSD3,20.0,3.0,1.0,0.0,7.0,40.0
MRPL13,28.0,8.0,6.0,1.0,16.0,68.0
MRPL28,2.0,0.0,0.0,0.0,8.0,23.0
MRPL57,13.0,8.0,5.0,4.0,8.0,36.0
MTOR,107.0,18.0,19.0,17.0,48.0,236.0
MYC,87.0,15.0,17.0,11.0,41.0,205.0
NAMPT,13.0,10.0,7.0,10.0,38.0,73.0
NCOR1,10.0,7.0,7.0,4.0,16.0,39.0
NCSTN,21.0,3.0,4.0,5.0,17.0,61.0
NEDD8,97.0,11.0,18.0,14.0,39.0,204.0
NMD3,28.0,10.0,10.0,6.0,24.0,76.0
NPEPPS,30.0,10.0,7.0,7.0,10.0,75.0
NPRL3,24.0,1.0,0.0,1.0,15.0,53.0
NSMCE4A,56.0,2.0,1.0,3.0,22.0,100.0
NUP188,6.0,5.0,5.0,7.0,18.0,54.0
NUP93,25.0,12.0,8.0,5.0,18.0,73.0
PAK2,111.0,15.0,19.0,12.0,45.0,260.0
PDCD6IP,76.0,11.0,8.0,4.0,33.0,161.0
PEF1,16.0,1.0,0.0,1.0,3.0,25.0
PEX16,4.0,4.0,5.0,7.0,13.0,33.0
PHB2,19.0,4.0,4.0,6.0,19.0,57.0
PML,25.0,2.0,0.0,1.0,3.0,36.0
POGZ,32.0,9.0,2.0,4.0,12.0,64.0
POLD2,142.0,23.0,15.0,13.0,59.0,271.0
PPP1CA,38.0,11.0,9.0,10.0,24.0,98.0
PPP1CC,14.0,6.0,7.0,2.0,17.0,50.0
PPP2R2A,20.0,3.0,4.0,3.0,13.0,45.0
PPP2R3C,18.0,15.0,15.0,12.0,45.0,121.0
PRIM2,111.0,20.0,15.0,12.0,38.0,203.0
PRMT5,56.0,5.0,4.0,4.0,14.0,102.0
PSMA3,30.0,10.0,11.0,9.0,25.0,85.0
PSMA4,12.0,3.0,1.0,2.0,5.0,27.0
PSMC6,12.0,2.0,3.0,4.0,8.0,32.0
PSMD13,26.0,1.0,1.0,2.0,7.0,41.0
PSMD7,9.0,1.0,2.0,1.0,6.0,31.0
RAB10,29.0,8.0,9.0,8.0,38.0,115.0
RAC1,164.0,20.0,23.0,24.0,80.0,373.0
RBPMS,14.0,7.0,3.0,0.0,6.0,29.0
RCC1,14.0,5.0,7.0,5.0,20.0,53.0
RELA,37.0,13.0,12.0,8.0,45.0,117.0
RFC3,161.0,24.0,18.0,16.0,70.0,304.0
RFC5,148.0,24.0,16.0,19.0,61.0,273.0
RHEB,16.0,1.0,3.0,1.0,10.0,30.0
RHOB,8.0,6.0,2.0,3.0,6.0,22.0
RIF1,10.0,10.0,7.0,10.0,29.0,62.0
RNPS1,14.0,6.0,8.0,9.0,16.0,56.0
RPL18,15.0,5.0,3.0,6.0,20.0,57.0
RPL19,23.0,5.0,6.0,4.0,19.0,51.0
RPL32,19.0,2.0,5.0,1.0,12.0,36.0
RPL35,8.0,7.0,7.0,4.0,14.0,40.0
RPL35A,21.0,10.0,7.0,8.0,14.0,62.0
RPL36,32.0,6.0,8.0,9.0,14.0,70.0
RPL39,35.0,11.0,9.0,6.0,18.0,74.0
RPL4,24.0,7.0,6.0,5.0,14.0,55.0
RPL5,11.0,0.0,1.0,1.0,7.0,23.0
RPN1,11.0,5.0,5.0,4.0,16.0,42.0
RPS12,43.0,5.0,9.0,10.0,30.0,118.0
RPS16,71.0,13.0,15.0,16.0,48.0,187.0
RPS20,10.0,2.0,1.0,1.0,5.0,25.0
RPS24,58.0,7.0,7.0,12.0,19.0,120.0
RPS3,30.0,6.0,7.0,7.0,14.0,65.0
RPS4X,54.0,7.0,12.0,12.0,28.0,135.0
RPS6,76.0,7.0,13.0,13.0,35.0,167.0
RPS8,50.0,7.0,10.0,8.0,29.0,133.0
RRAGC,14.0,5.0,3.0,0.0,7.0,33.0
RSU1,130.0,24.0,25.0,26.0,92.0,314.0
SAP130,37.0,4.0,1.0,4.0,5.0,46.0
SCNM1,9.0,4.0,1.0,1.0,12.0,30.0
SDHB,36.0,16.0,17.0,13.0,39.0,111.0
SDHD,22.0,14.0,9.0,11.0,20.0,68.0
SEC11A,30.0,5.0,6.0,6.0,12.0,61.0
SETDB1,22.0,6.0,7.0,5.0,41.0,84.0
SF3B1,31.0,12.0,10.0,5.0,35.0,91.0
SF3B3,12.0,7.0,3.0,3.0,14.0,50.0
SF3B4,17.0,4.0,4.0,2.0,5.0,34.0
SFPQ,50.0,14.0,13.0,11.0,52.0,150.0
SH3BP4,46.0,11.0,14.0,10.0,27.0,119.0
SHOC2,31.0,3.0,1.0,1.0,9.0,57.0
SMG7,16.0,3.0,5.0,1.0,11.0,36.0
SRPRB,18.0,6.0,6.0,7.0,11.0,62.0
SRSF1,34.0,2.0,3.0,6.0,14.0,75.0
SSR2,13.0,4.0,4.0,3.0,18.0,50.0
SSR3,21.0,8.0,9.0,9.0,40.0,86.0
ST3GAL1,24.0,7.0,3.0,3.0,9.0,53.0
STAG1,18.0,6.0,1.0,0.0,3.0,43.0
STRIP1,32.0,9.0,9.0,12.0,30.0,99.0
STT3A,36.0,9.0,10.0,9.0,37.0,104.0
STT3B,21.0,0.0,1.0,1.0,5.0,40.0
STX5,4.0,1.0,3.0,3.0,12.0,24.0
SUGP1,8.0,3.0,3.0,1.0,16.0,47.0
SUV39H1,30.0,5.0,5.0,4.0,12.0,67.0
SYMPK,8.0,2.0,1.0,5.0,12.0,30.0
TAF5L,28.0,12.0,12.0,14.0,25.0,88.0
TARDBP,108.0,10.0,8.0,7.0,36.0,205.0
TCERG1,62.0,11.0,10.0,11.0,21.0,137.0
TIMELESS,102.0,15.0,15.0,9.0,32.0,200.0
TMED10,77.0,16.0,17.0,19.0,66.0,212.0
TMED2,94.0,23.0,23.0,21.0,86.0,259.0
TMEM201,7.0,1.0,1.0,1.0,8.0,27.0
TOE1,66.0,4.0,5.0,1.0,7.0,92.0
TOMM20,18.0,4.0,5.0,5.0,12.0,63.0
TOMM22,76.0,11.0,12.0,15.0,30.0,164.0
TOMM40,79.0,12.0,17.0,17.0,49.0,203.0
TPT1,42.0,9.0,3.0,3.0,21.0,84.0
TRAPPC1,107.0,18.0,23.0,15.0,59.0,257.0
TRAPPC3,40.0,2.0,9.0,7.0,27.0,97.0
TRAPPC4,96.0,19.0,25.0,15.0,51.0,232.0
TSC1,32.0,7.0,5.0,7.0,33.0,86.0
TSR1,27.0,5.0,6.0,5.0,18.0,67.0
TSR2,38.0,7.0,11.0,9.0,29.0,107.0
TUBB4B,62.0,1.0,2.0,1.0,18.0,113.0
UBAP1,7.0,4.0,3.0,4.0,3.0,27.0
UBE2D3,32.0,11.0,16.0,19.0,29.0,121.0
UCP2,5.0,2.0,4.0,5.0,13.0,26.0
UFM1,18.0,4.0,6.0,4.0,10.0,40.0
UQCR10,6.0,2.0,4.0,4.0,3.0,22.0
UQCRB,39.0,8.0,8.0,6.0,26.0,80.0
UQCRHL,22.0,1.0,0.0,0.0,12.0,54.0
USP5,8.0,5.0,5.0,9.0,6.0,38.0
VTA1,10.0,6.0,7.0,3.0,10.0,39.0
WDR83,27.0,10.0,5.0,5.0,17.0,80.0
WRAP53,12.0,0.0,2.0,0.0,4.0,36.0
XPO5,44.0,9.0,7.0,8.0,20.0,104.0
ZC3HC1,7.0,3.0,3.0,5.0,7.0,32.0
ZNHIT6,17.0,0.0,3.0,4.0,15.0,41.0
