Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
PPP1R10,13.0,13.0,2.0,2.0,1.0,5.0,6.0,10.0,9.0,5.0,8.0,5.0,13.0,6.0,6.0,76.0
PPWD1,5.0,13.0,1.0,2.0,7.0,5.0,8.0,8.0,10.0,8.0,3.0,2.0,2.0,10.0,8.0,78.0
PSMA5,11.0,1.0,6.0,2.0,0.0,6.0,2.0,5.0,7.0,3.0,3.0,8.0,3.0,3.0,1.0,51.0
PSMB1,14.0,0.0,1.0,2.0,3.0,0.0,6.0,5.0,7.0,4.0,2.0,2.0,3.0,7.0,11.0,56.0
PSMB10,4.0,15.0,1.0,7.0,0.0,5.0,4.0,7.0,25.0,3.0,12.0,11.0,15.0,1.0,4.0,79.0
PSMB8,2.0,3.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,10.0,1.0,17.0,5.0,2.0,33.0
PSME4,5.0,9.0,3.0,3.0,0.0,5.0,2.0,2.0,8.0,5.0,4.0,8.0,15.0,1.0,3.0,52.0
RAB11B,11.0,3.0,2.0,6.0,3.0,6.0,13.0,12.0,19.0,16.0,0.0,8.0,9.0,8.0,7.0,77.0
RAB2B,6.0,2.0,2.0,4.0,2.0,6.0,15.0,9.0,8.0,3.0,3.0,9.0,11.0,9.0,11.0,84.0
RAB3GAP1,6.0,6.0,2.0,2.0,7.0,8.0,3.0,0.0,2.0,2.0,6.0,8.0,2.0,2.0,4.0,47.0
RABL3,1.0,1.0,21.0,7.0,1.0,2.0,7.0,7.0,16.0,7.0,5.0,6.0,7.0,8.0,5.0,79.0
RIF1,3.0,14.0,12.0,11.0,0.0,2.0,7.0,4.0,18.0,4.0,2.0,8.0,6.0,9.0,7.0,75.0
RPL22,5.0,5.0,1.0,4.0,0.0,1.0,5.0,10.0,7.0,18.0,0.0,6.0,11.0,1.0,4.0,49.0
RPL35,3.0,2.0,5.0,9.0,6.0,21.0,11.0,7.0,21.0,4.0,14.0,3.0,9.0,7.0,7.0,92.0
RPL39L,26.0,2.0,1.0,10.0,4.0,3.0,16.0,8.0,17.0,9.0,3.0,7.0,13.0,4.0,9.0,101.0
RPS6KA1,8.0,7.0,1.0,4.0,9.0,3.0,3.0,1.0,21.0,3.0,7.0,12.0,9.0,6.0,5.0,79.0
RPS6KB2,0.0,3.0,0.0,3.0,1.0,7.0,5.0,18.0,0.0,0.0,23.0,7.0,1.0,9.0,1.0,50.0
SEH1L,5.0,0.0,14.0,6.0,1.0,8.0,5.0,13.0,11.0,12.0,23.0,0.0,12.0,4.0,2.0,79.0
SMARCAD1,2.0,5.0,6.0,3.0,3.0,2.0,7.0,5.0,3.0,3.0,3.0,1.0,9.0,13.0,3.0,44.0
SNRNP48,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,1.0,2.0,18.0,4.0,5.0,1.0,2.0,34.0
SPIDR,11.0,8.0,9.0,6.0,6.0,9.0,16.0,10.0,23.0,3.0,4.0,6.0,9.0,3.0,7.0,87.0
SSR1,5.0,17.0,7.0,2.0,2.0,4.0,6.0,8.0,4.0,35.0,16.0,8.0,16.0,3.0,1.0,90.0
STX5,2.0,10.0,17.0,26.0,3.0,3.0,6.0,11.0,6.0,7.0,10.0,5.0,4.0,4.0,5.0,85.0
TMEM106B,2.0,9.0,14.0,3.0,0.0,2.0,3.0,3.0,4.0,61.0,0.0,4.0,6.0,0.0,1.0,76.0
UBQLN2,1.0,11.0,9.0,2.0,0.0,6.0,2.0,5.0,23.0,16.0,20.0,7.0,4.0,1.0,2.0,76.0
UCP2,5.0,4.0,5.0,2.0,6.0,8.0,10.0,23.0,7.0,10.0,6.0,12.0,7.0,19.0,9.0,95.0
USP1,4.0,8.0,18.0,8.0,4.0,0.0,3.0,8.0,17.0,4.0,7.0,24.0,15.0,3.0,5.0,78.0
ZNF131,21.0,5.0,16.0,5.0,2.0,3.0,8.0,12.0,28.0,8.0,9.0,10.0,9.0,8.0,8.0,99.0
