feature_name	compartment	prefilter_column
Cells_Correlation_Correlation_Cycle01_DAPI_GM130	Cells	False
Cells_Correlation_Correlation_Cycle01_DAPI_LAMP1	Cells	False
Cells_Correlation_Correlation_Cycle01_DAPI_NfKb	Cells	False
Cells_Correlation_Correlation_Cycle01_DAPI_PRSP6	Cells	False
Cells_Correlation_Correlation_Cycle01_DAPI_Phalloidin	Cells	False
Cells_Correlation_Correlation_Cycle01_DAPI_Syto9	Cells	False
Cells_Correlation_Correlation_Cycle01_DAPI_TDP43	Cells	False
Cells_Correlation_Correlation_Cycle01_DAPI_WGA	Cells	False
Cells_Correlation_Correlation_Cycle01_DAPI_btubulin	Cells	False
Cells_Correlation_Correlation_DNA_G3BP1	Cells	False
Cells_Correlation_Correlation_DNA_GM130	Cells	False
Cells_Correlation_Correlation_DNA_LAMP1	Cells	False
Cells_Correlation_Correlation_DNA_NfKb	Cells	False
Cells_Correlation_Correlation_DNA_PRSP6	Cells	False
Cells_Correlation_Correlation_DNA_Phalloidin	Cells	False
Cells_Correlation_Correlation_DNA_Syto9	Cells	False
Cells_Correlation_Correlation_DNA_TDP43	Cells	False
Cells_Correlation_Correlation_DNA_WGA	Cells	False
Cells_Correlation_Correlation_DNA_btubulin	Cells	False
Cells_Correlation_Correlation_G3BP1_GM130	Cells	False
Cells_Correlation_Correlation_G3BP1_LAMP1	Cells	False
Cells_Correlation_Correlation_G3BP1_NfKb	Cells	False
Cells_Correlation_Correlation_G3BP1_PRSP6	Cells	False
Cells_Correlation_Correlation_G3BP1_Phalloidin	Cells	False
Cells_Correlation_Correlation_G3BP1_Syto9	Cells	False
Cells_Correlation_Correlation_G3BP1_TDP43	Cells	False
Cells_Correlation_Correlation_G3BP1_WGA	Cells	False
Cells_Correlation_Correlation_G3BP1_btubulin	Cells	False
Cells_Correlation_Correlation_GM130_LAMP1	Cells	False
Cells_Correlation_Correlation_GM130_NfKb	Cells	False
Cells_Correlation_Correlation_GM130_PRSP6	Cells	False
Cells_Correlation_Correlation_GM130_Phalloidin	Cells	False
Cells_Correlation_Correlation_GM130_Syto9	Cells	False
Cells_Correlation_Correlation_GM130_TDP43	Cells	False
Cells_Correlation_Correlation_GM130_WGA	Cells	False
Cells_Correlation_Correlation_GM130_btubulin	Cells	False
Cells_Correlation_Correlation_LAMP1_NfKb	Cells	False
Cells_Correlation_Correlation_LAMP1_PRSP6	Cells	False
Cells_Correlation_Correlation_LAMP1_Phalloidin	Cells	False
Cells_Correlation_Correlation_LAMP1_Syto9	Cells	False
Cells_Correlation_Correlation_LAMP1_TDP43	Cells	False
Cells_Correlation_Correlation_LAMP1_WGA	Cells	False
Cells_Correlation_Correlation_LAMP1_btubulin	Cells	False
Cells_Correlation_Correlation_NfKb_PRSP6	Cells	False
Cells_Correlation_Correlation_NfKb_Phalloidin	Cells	False
Cells_Correlation_Correlation_NfKb_Syto9	Cells	False
Cells_Correlation_Correlation_NfKb_TDP43	Cells	False
Cells_Correlation_Correlation_NfKb_WGA	Cells	False
Cells_Correlation_Correlation_NfKb_btubulin	Cells	False
Cells_Correlation_Correlation_PRSP6_Phalloidin	Cells	False
Cells_Correlation_Correlation_PRSP6_Syto9	Cells	False
Cells_Correlation_Correlation_PRSP6_TDP43	Cells	False
Cells_Correlation_Correlation_PRSP6_WGA	Cells	False
Cells_Correlation_Correlation_PRSP6_btubulin	Cells	False
Cells_Correlation_Correlation_Phalloidin_Syto9	Cells	False
Cells_Correlation_Correlation_Phalloidin_TDP43	Cells	False
Cells_Correlation_Correlation_Phalloidin_WGA	Cells	False
Cells_Correlation_Correlation_Phalloidin_btubulin	Cells	False
Cells_Correlation_Correlation_Syto9_TDP43	Cells	False
Cells_Correlation_Correlation_Syto9_WGA	Cells	False
Cells_Correlation_Correlation_Syto9_btubulin	Cells	False
Cells_Correlation_Correlation_TDP43_WGA	Cells	False
Cells_Correlation_Correlation_TDP43_btubulin	Cells	False
Cells_Correlation_Correlation_WGA_btubulin	Cells	False
Cells_Correlation_K_COXIV_Calnexin	Cells	False
Cells_Correlation_K_COXIV_Catalase	Cells	False
Cells_Correlation_K_COXIV_ConA	Cells	False
Cells_Correlation_K_COXIV_Cycle01_DAPI	Cells	False
Cells_Correlation_K_COXIV_DNA	Cells	False
Cells_Correlation_K_COXIV_G3BP1	Cells	False
Cells_Correlation_K_COXIV_GM130	Cells	False
Cells_Correlation_K_COXIV_LAMP1	Cells	False
Cells_Correlation_K_COXIV_NfKb	Cells	False
Cells_Correlation_K_COXIV_PRSP6	Cells	False
Cells_Correlation_K_COXIV_Phalloidin	Cells	False
Cells_Correlation_K_COXIV_Syto9	Cells	False
Cells_Correlation_K_COXIV_TDP43	Cells	False
Cells_Correlation_K_COXIV_WGA	Cells	False
Cells_Correlation_K_COXIV_btubulin	Cells	False
Cells_Correlation_K_Calnexin_COXIV	Cells	False
Cells_Correlation_K_Calnexin_Catalase	Cells	False
Cells_Correlation_K_Calnexin_ConA	Cells	False
Cells_Correlation_K_Calnexin_Cycle01_DAPI	Cells	False
Cells_Correlation_K_Calnexin_DNA	Cells	False
Cells_Correlation_K_Calnexin_G3BP1	Cells	False
Cells_Correlation_K_Calnexin_GM130	Cells	False
Cells_Correlation_K_Calnexin_LAMP1	Cells	False
Cells_Correlation_K_Calnexin_NfKb	Cells	False
Cells_Correlation_K_Calnexin_PRSP6	Cells	False
Cells_Correlation_K_Calnexin_Phalloidin	Cells	False
Cells_Correlation_K_Calnexin_Syto9	Cells	False
Cells_Correlation_K_Calnexin_TDP43	Cells	False
Cells_Correlation_K_Calnexin_WGA	Cells	False
Cells_Correlation_K_Calnexin_btubulin	Cells	False
Cells_Correlation_K_Catalase_COXIV	Cells	False
Cells_Correlation_K_Catalase_Calnexin	Cells	False
Cells_Correlation_K_Catalase_ConA	Cells	False
Cells_Correlation_K_Catalase_Cycle01_DAPI	Cells	False
Cells_Correlation_K_Catalase_DNA	Cells	False
Cells_Correlation_K_Catalase_G3BP1	Cells	False
Cells_Correlation_K_Catalase_GM130	Cells	False
Cells_Correlation_K_Catalase_LAMP1	Cells	False
Cells_Correlation_K_Catalase_NfKb	Cells	False
Cells_Correlation_K_Catalase_PRSP6	Cells	False
Cells_Correlation_K_Catalase_Phalloidin	Cells	False
Cells_Correlation_K_Catalase_Syto9	Cells	False
Cells_Correlation_K_Catalase_TDP43	Cells	False
Cells_Correlation_K_Catalase_WGA	Cells	False
Cells_Correlation_K_Catalase_btubulin	Cells	False
Cells_Correlation_K_ConA_COXIV	Cells	False
Cells_Correlation_K_ConA_Calnexin	Cells	False
Cells_Correlation_K_ConA_Catalase	Cells	False
Cells_Correlation_K_ConA_Cycle01_DAPI	Cells	False
Cells_Correlation_K_ConA_DNA	Cells	False
Cells_Correlation_K_ConA_G3BP1	Cells	False
Cells_Correlation_K_ConA_GM130	Cells	False
Cells_Correlation_K_ConA_LAMP1	Cells	False
Cells_Correlation_K_ConA_NfKb	Cells	False
Cells_Correlation_K_ConA_PRSP6	Cells	False
Cells_Correlation_K_ConA_Phalloidin	Cells	False
Cells_Correlation_K_ConA_Syto9	Cells	False
Cells_Correlation_K_ConA_TDP43	Cells	False
Cells_Correlation_K_ConA_WGA	Cells	False
Cells_Correlation_K_ConA_btubulin	Cells	False
Cells_Correlation_K_Cycle01_DAPI_COXIV	Cells	False
Cells_Correlation_K_Cycle01_DAPI_Calnexin	Cells	False
Cells_Correlation_K_Cycle01_DAPI_Catalase	Cells	False
Cells_Correlation_K_Cycle01_DAPI_ConA	Cells	False
Cells_Correlation_K_Cycle01_DAPI_DNA	Cells	False
Cells_Correlation_K_Cycle01_DAPI_G3BP1	Cells	False
Cells_Correlation_K_Cycle01_DAPI_GM130	Cells	False
Cells_Correlation_K_Cycle01_DAPI_LAMP1	Cells	False
Cells_Correlation_K_Cycle01_DAPI_NfKb	Cells	False
Cells_Correlation_K_Cycle01_DAPI_PRSP6	Cells	False
Cells_Correlation_K_Cycle01_DAPI_Phalloidin	Cells	False
Cells_Correlation_K_Cycle01_DAPI_Syto9	Cells	False
Cells_Correlation_K_Cycle01_DAPI_TDP43	Cells	False
Cells_Correlation_K_Cycle01_DAPI_WGA	Cells	False
Cells_Correlation_K_Cycle01_DAPI_btubulin	Cells	False
Cells_Correlation_K_DNA_COXIV	Cells	False
Cells_Correlation_K_DNA_Calnexin	Cells	False
Cells_Correlation_K_DNA_Catalase	Cells	False
Cells_Correlation_K_DNA_ConA	Cells	False
Cells_Correlation_K_DNA_Cycle01_DAPI	Cells	False
Cells_Correlation_K_DNA_G3BP1	Cells	False
Cells_Correlation_K_DNA_GM130	Cells	False
Cells_Correlation_K_DNA_LAMP1	Cells	False
Cells_Correlation_K_DNA_NfKb	Cells	False
Cells_Correlation_K_DNA_PRSP6	Cells	False
Cells_Correlation_K_DNA_Phalloidin	Cells	False
Cells_Correlation_K_DNA_Syto9	Cells	False
Cells_Correlation_K_DNA_TDP43	Cells	False
Cells_Correlation_K_DNA_WGA	Cells	False
Cells_Correlation_K_DNA_btubulin	Cells	False
Cells_Correlation_K_G3BP1_COXIV	Cells	False
Cells_Correlation_K_G3BP1_Calnexin	Cells	False
Cells_Correlation_K_G3BP1_Catalase	Cells	False
Cells_Correlation_K_G3BP1_ConA	Cells	False
Cells_Correlation_K_G3BP1_Cycle01_DAPI	Cells	False
Cells_Correlation_K_G3BP1_DNA	Cells	False
Cells_Correlation_K_G3BP1_GM130	Cells	False
Cells_Correlation_K_G3BP1_LAMP1	Cells	False
Cells_Correlation_K_G3BP1_NfKb	Cells	False
Cells_Correlation_K_G3BP1_PRSP6	Cells	False
Cells_Correlation_K_G3BP1_Phalloidin	Cells	False
Cells_Correlation_K_G3BP1_Syto9	Cells	False
Cells_Correlation_K_G3BP1_TDP43	Cells	False
Cells_Correlation_K_G3BP1_WGA	Cells	False
Cells_Correlation_K_G3BP1_btubulin	Cells	False
Cells_Correlation_K_GM130_COXIV	Cells	False
Cells_Correlation_K_GM130_Calnexin	Cells	False
Cells_Correlation_K_GM130_Catalase	Cells	False
Cells_Correlation_K_GM130_ConA	Cells	False
Cells_Correlation_K_GM130_Cycle01_DAPI	Cells	False
Cells_Correlation_K_GM130_DNA	Cells	False
Cells_Correlation_K_GM130_G3BP1	Cells	False
Cells_Correlation_K_GM130_LAMP1	Cells	False
Cells_Correlation_K_GM130_NfKb	Cells	False
Cells_Correlation_K_GM130_PRSP6	Cells	False
Cells_Correlation_K_GM130_Phalloidin	Cells	False
Cells_Correlation_K_GM130_Syto9	Cells	False
Cells_Correlation_K_GM130_TDP43	Cells	False
Cells_Correlation_K_GM130_WGA	Cells	False
Cells_Correlation_K_GM130_btubulin	Cells	False
Cells_Correlation_K_LAMP1_COXIV	Cells	False
Cells_Correlation_K_LAMP1_Calnexin	Cells	False
Cells_Correlation_K_LAMP1_Catalase	Cells	False
Cells_Correlation_K_LAMP1_ConA	Cells	False
Cells_Correlation_K_LAMP1_Cycle01_DAPI	Cells	False
Cells_Correlation_K_LAMP1_DNA	Cells	False
Cells_Correlation_K_LAMP1_G3BP1	Cells	False
Cells_Correlation_K_LAMP1_GM130	Cells	False
Cells_Correlation_K_LAMP1_NfKb	Cells	False
Cells_Correlation_K_LAMP1_PRSP6	Cells	False
Cells_Correlation_K_LAMP1_Phalloidin	Cells	False
Cells_Correlation_K_LAMP1_Syto9	Cells	False
Cells_Correlation_K_LAMP1_TDP43	Cells	False
Cells_Correlation_K_LAMP1_WGA	Cells	False
Cells_Correlation_K_LAMP1_btubulin	Cells	False
Cells_Correlation_K_NfKb_COXIV	Cells	False
Cells_Correlation_K_NfKb_Calnexin	Cells	False
Cells_Correlation_K_NfKb_Catalase	Cells	False
Cells_Correlation_K_NfKb_ConA	Cells	False
Cells_Correlation_K_NfKb_Cycle01_DAPI	Cells	False
Cells_Correlation_K_NfKb_DNA	Cells	False
Cells_Correlation_K_NfKb_G3BP1	Cells	False
Cells_Correlation_K_NfKb_GM130	Cells	False
Cells_Correlation_K_NfKb_LAMP1	Cells	False
Cells_Correlation_K_NfKb_PRSP6	Cells	False
Cells_Correlation_K_NfKb_Phalloidin	Cells	False
Cells_Correlation_K_NfKb_Syto9	Cells	False
Cells_Correlation_K_NfKb_TDP43	Cells	False
Cells_Correlation_K_NfKb_WGA	Cells	False
Cells_Correlation_K_NfKb_btubulin	Cells	False
Cells_Correlation_K_PRSP6_COXIV	Cells	False
Cells_Correlation_K_PRSP6_Calnexin	Cells	False
Cells_Correlation_K_PRSP6_Catalase	Cells	False
Cells_Correlation_K_PRSP6_ConA	Cells	False
Cells_Correlation_K_PRSP6_Cycle01_DAPI	Cells	False
Cells_Correlation_K_PRSP6_DNA	Cells	False
Cells_Correlation_K_PRSP6_G3BP1	Cells	False
Cells_Correlation_K_PRSP6_GM130	Cells	False
Cells_Correlation_K_PRSP6_LAMP1	Cells	False
Cells_Correlation_K_PRSP6_NfKb	Cells	False
Cells_Correlation_K_PRSP6_Phalloidin	Cells	False
Cells_Correlation_K_PRSP6_Syto9	Cells	False
Cells_Correlation_K_PRSP6_TDP43	Cells	False
Cells_Correlation_K_PRSP6_WGA	Cells	False
Cells_Correlation_K_PRSP6_btubulin	Cells	False
Cells_Correlation_K_Phalloidin_COXIV	Cells	False
Cells_Correlation_K_Phalloidin_Calnexin	Cells	False
Cells_Correlation_K_Phalloidin_Catalase	Cells	False
Cells_Correlation_K_Phalloidin_ConA	Cells	False
Cells_Correlation_K_Phalloidin_Cycle01_DAPI	Cells	False
Cells_Correlation_K_Phalloidin_DNA	Cells	False
Cells_Correlation_K_Phalloidin_G3BP1	Cells	False
Cells_Correlation_K_Phalloidin_GM130	Cells	False
Cells_Correlation_K_Phalloidin_LAMP1	Cells	False
Cells_Correlation_K_Phalloidin_NfKb	Cells	False
Cells_Correlation_K_Phalloidin_PRSP6	Cells	False
Cells_Correlation_K_Phalloidin_Syto9	Cells	False
Cells_Correlation_K_Phalloidin_TDP43	Cells	False
Cells_Correlation_K_Phalloidin_WGA	Cells	False
Cells_Correlation_K_Phalloidin_btubulin	Cells	False
Cells_Correlation_K_Syto9_COXIV	Cells	False
Cells_Correlation_K_Syto9_Calnexin	Cells	False
Cells_Correlation_K_Syto9_Catalase	Cells	False
Cells_Correlation_K_Syto9_ConA	Cells	False
Cells_Correlation_K_Syto9_Cycle01_DAPI	Cells	False
Cells_Correlation_K_Syto9_DNA	Cells	False
Cells_Correlation_K_Syto9_G3BP1	Cells	False
Cells_Correlation_K_Syto9_GM130	Cells	False
Cells_Correlation_K_Syto9_LAMP1	Cells	False
Cells_Correlation_K_Syto9_NfKb	Cells	False
Cells_Correlation_K_Syto9_PRSP6	Cells	False
Cells_Correlation_K_Syto9_Phalloidin	Cells	False
Cells_Correlation_K_Syto9_TDP43	Cells	False
Cells_Correlation_K_Syto9_WGA	Cells	False
Cells_Correlation_K_Syto9_btubulin	Cells	False
Cells_Correlation_K_TDP43_COXIV	Cells	False
Cells_Correlation_K_TDP43_Calnexin	Cells	False
Cells_Correlation_K_TDP43_Catalase	Cells	False
Cells_Correlation_K_TDP43_ConA	Cells	False
Cells_Correlation_K_TDP43_Cycle01_DAPI	Cells	False
Cells_Correlation_K_TDP43_DNA	Cells	False
Cells_Correlation_K_TDP43_G3BP1	Cells	False
Cells_Correlation_K_TDP43_GM130	Cells	False
Cells_Correlation_K_TDP43_LAMP1	Cells	False
Cells_Correlation_K_TDP43_NfKb	Cells	False
Cells_Correlation_K_TDP43_PRSP6	Cells	False
Cells_Correlation_K_TDP43_Phalloidin	Cells	False
Cells_Correlation_K_TDP43_Syto9	Cells	False
Cells_Correlation_K_TDP43_WGA	Cells	False
Cells_Correlation_K_TDP43_btubulin	Cells	False
Cells_Correlation_K_WGA_COXIV	Cells	False
Cells_Correlation_K_WGA_Calnexin	Cells	False
Cells_Correlation_K_WGA_Catalase	Cells	False
Cells_Correlation_K_WGA_ConA	Cells	False
Cells_Correlation_K_WGA_Cycle01_DAPI	Cells	False
Cells_Correlation_K_WGA_DNA	Cells	False
Cells_Correlation_K_WGA_G3BP1	Cells	False
Cells_Correlation_K_WGA_GM130	Cells	False
Cells_Correlation_K_WGA_LAMP1	Cells	False
Cells_Correlation_K_WGA_NfKb	Cells	False
Cells_Correlation_K_WGA_PRSP6	Cells	False
Cells_Correlation_K_WGA_Phalloidin	Cells	False
Cells_Correlation_K_WGA_Syto9	Cells	False
Cells_Correlation_K_WGA_TDP43	Cells	False
Cells_Correlation_K_WGA_btubulin	Cells	False
Cells_Correlation_K_btubulin_COXIV	Cells	False
Cells_Correlation_K_btubulin_Calnexin	Cells	False
Cells_Correlation_K_btubulin_Catalase	Cells	False
Cells_Correlation_K_btubulin_ConA	Cells	False
Cells_Correlation_K_btubulin_Cycle01_DAPI	Cells	False
Cells_Correlation_K_btubulin_DNA	Cells	False
Cells_Correlation_K_btubulin_G3BP1	Cells	False
Cells_Correlation_K_btubulin_GM130	Cells	False
Cells_Correlation_K_btubulin_LAMP1	Cells	False
Cells_Correlation_K_btubulin_NfKb	Cells	False
Cells_Correlation_K_btubulin_PRSP6	Cells	False
Cells_Correlation_K_btubulin_Phalloidin	Cells	False
Cells_Correlation_K_btubulin_Syto9	Cells	False
Cells_Correlation_K_btubulin_TDP43	Cells	False
Cells_Correlation_K_btubulin_WGA	Cells	False
Cells_Correlation_Overlap_COXIV_Calnexin	Cells	False
Cells_Correlation_Overlap_COXIV_Catalase	Cells	False
Cells_Correlation_Overlap_COXIV_ConA	Cells	False
Cells_Correlation_Overlap_COXIV_Cycle01_DAPI	Cells	False
Cells_Correlation_Overlap_COXIV_DNA	Cells	False
Cells_Correlation_Overlap_COXIV_G3BP1	Cells	False
Cells_Correlation_Overlap_COXIV_GM130	Cells	False
Cells_Correlation_Overlap_COXIV_LAMP1	Cells	False
Cells_Correlation_Overlap_COXIV_NfKb	Cells	False
Cells_Correlation_Overlap_COXIV_PRSP6	Cells	False
Cells_Correlation_Overlap_COXIV_Phalloidin	Cells	False
Cells_Correlation_Overlap_COXIV_Syto9	Cells	False
