Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
COPA,6.0,7.0,10.0,18.0,2.0,7.0,4.0,6.0,13.0,4.0,14.0,6.0,8.0,6.0,8.0,80.0
COPZ1,11.0,2.0,13.0,14.0,5.0,11.0,4.0,8.0,16.0,2.0,6.0,10.0,15.0,5.0,13.0,95.0
COQ5,7.0,8.0,7.0,4.0,1.0,3.0,6.0,3.0,44.0,3.0,8.0,5.0,8.0,6.0,9.0,79.0
COX8A,7.0,5.0,6.0,5.0,2.0,6.0,8.0,15.0,45.0,4.0,1.0,12.0,10.0,10.0,4.0,92.0
CRY1,14.0,4.0,5.0,2.0,3.0,4.0,4.0,2.0,20.0,1.0,2.0,8.0,5.0,2.0,4.0,56.0
CYB561A3,1.0,0.0,2.0,2.0,1.0,0.0,5.0,10.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,17.0
DARS2,2.0,3.0,3.0,6.0,2.0,3.0,1.0,4.0,2.0,2.0,17.0,4.0,6.0,1.0,0.0,39.0
DLG1,1.0,13.0,2.0,1.0,1.0,0.0,3.0,0.0,5.0,0.0,1.0,4.0,1.0,0.0,2.0,21.0
DOCK2,2.0,4.0,3.0,3.0,0.0,0.0,26.0,1.0,4.0,2.0,0.0,10.0,6.0,3.0,1.0,40.0
DPM3,3.0,4.0,2.0,23.0,2.0,5.0,4.0,3.0,14.0,6.0,2.0,3.0,2.0,5.0,2.0,65.0
EIF2D,3.0,4.0,20.0,6.0,2.0,1.0,5.0,6.0,5.0,11.0,13.0,5.0,4.0,2.0,4.0,56.0
EIF3E,4.0,3.0,2.0,15.0,0.0,1.0,5.0,7.0,9.0,17.0,2.0,11.0,1.0,2.0,5.0,66.0
EIF4A2,7.0,2.0,3.0,5.0,3.0,7.0,5.0,4.0,6.0,6.0,4.0,13.0,7.0,10.0,6.0,76.0
EML3,2.0,0.0,5.0,3.0,0.0,1.0,2.0,13.0,4.0,1.0,1.0,7.0,2.0,1.0,2.0,36.0
ESRP2,5.0,5.0,9.0,11.0,5.0,5.0,8.0,10.0,7.0,20.0,8.0,7.0,0.0,2.0,8.0,76.0
ETFA,3.0,5.0,13.0,10.0,1.0,3.0,3.0,1.0,24.0,8.0,9.0,4.0,2.0,6.0,2.0,61.0
GABARAPL1,9.0,10.0,9.0,6.0,7.0,6.0,4.0,7.0,16.0,3.0,18.0,11.0,8.0,4.0,7.0,89.0
GOLGA1,2.0,2.0,4.0,2.0,3.0,2.0,9.0,2.0,2.0,5.0,10.0,4.0,0.0,5.0,4.0,34.0
HAUS1,17.0,3.0,2.0,8.0,1.0,6.0,12.0,4.0,11.0,6.0,6.0,11.0,11.0,3.0,7.0,68.0
HAUS8,15.0,2.0,3.0,5.0,1.0,1.0,11.0,3.0,12.0,4.0,1.0,10.0,8.0,4.0,10.0,70.0
HDAC2,1.0,22.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,10.0,3.0,2.0,0.0,4.0,39.0
HDGFL2,6.0,8.0,1.0,4.0,3.0,4.0,11.0,1.0,5.0,2.0,2.0,4.0,5.0,2.0,3.0,54.0
IARS2,8.0,9.0,4.0,6.0,2.0,4.0,12.0,3.0,14.0,3.0,5.0,7.0,4.0,4.0,5.0,69.0
ISL1,2.0,3.0,4.0,4.0,4.0,3.0,28.0,1.0,5.0,2.0,3.0,4.0,1.0,7.0,0.0,42.0
ITFG2,2.0,1.0,9.0,2.0,2.0,3.0,18.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,0.0,37.0
JTB,4.0,13.0,14.0,4.0,5.0,7.0,11.0,7.0,10.0,3.0,12.0,7.0,21.0,6.0,5.0,81.0
M6PR,7.0,8.0,8.0,2.0,1.0,5.0,2.0,3.0,22.0,13.0,5.0,2.0,10.0,2.0,3.0,66.0
MAP1S,9.0,17.0,8.0,1.0,0.0,2.0,2.0,3.0,8.0,5.0,5.0,2.0,4.0,0.0,2.0,46.0
MCM3AP,6.0,10.0,12.0,4.0,0.0,3.0,4.0,15.0,6.0,2.0,20.0,10.0,6.0,3.0,7.0,77.0
MCOLN1,11.0,10.0,3.0,7.0,3.0,3.0,10.0,5.0,17.0,16.0,3.0,3.0,3.0,4.0,8.0,67.0
MED1,1.0,1.0,12.0,7.0,7.0,11.0,12.0,6.0,24.0,4.0,6.0,3.0,2.0,14.0,12.0,73.0
MFSD3,11.0,1.0,5.0,8.0,4.0,4.0,11.0,8.0,3.0,3.0,10.0,17.0,5.0,6.0,11.0,77.0
MRNIP,10.0,5.0,7.0,2.0,5.0,3.0,20.0,3.0,5.0,3.0,8.0,11.0,3.0,4.0,4.0,64.0
MRPL1,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,20.0,1.0,0.0,3.0,2.0,0.0,1.0,23.0
MRPL27,1.0,9.0,12.0,6.0,3.0,1.0,4.0,4.0,26.0,2.0,7.0,1.0,9.0,4.0,5.0,63.0
MRPL33,5.0,3.0,9.0,1.0,5.0,4.0,2.0,4.0,15.0,4.0,9.0,3.0,7.0,8.0,7.0,62.0
MRPL37,4.0,0.0,1.0,3.0,1.0,2.0,7.0,4.0,11.0,2.0,2.0,1.0,5.0,9.0,8.0,48.0
MRPL49,5.0,0.0,1.0,8.0,4.0,0.0,11.0,23.0,19.0,8.0,1.0,7.0,5.0,9.0,10.0,71.0
MRPS15,3.0,4.0,1.0,11.0,1.0,3.0,4.0,6.0,21.0,8.0,6.0,6.0,7.0,6.0,5.0,70.0
MRPS26,13.0,6.0,12.0,9.0,2.0,4.0,5.0,7.0,12.0,11.0,12.0,5.0,5.0,5.0,5.0,71.0
MRPS9,7.0,2.0,10.0,10.0,4.0,8.0,12.0,7.0,33.0,4.0,7.0,4.0,2.0,9.0,10.0,82.0
NAMPT,7.0,13.0,8.0,2.0,1.0,5.0,3.0,5.0,7.0,9.0,2.0,9.0,3.0,4.0,7.0,54.0
NBR1,8.0,10.0,3.0,5.0,10.0,6.0,9.0,6.0,15.0,8.0,13.0,3.0,3.0,8.0,6.0,91.0
NCSTN,1.0,1.0,5.0,11.0,6.0,10.0,13.0,5.0,8.0,12.0,15.0,10.0,5.0,6.0,8.0,71.0
NDUFA4,7.0,4.0,6.0,2.0,4.0,6.0,4.0,5.0,40.0,2.0,6.0,8.0,2.0,6.0,6.0,70.0
NDUFA7,9.0,7.0,2.0,4.0,4.0,3.0,3.0,1.0,11.0,4.0,1.0,2.0,2.0,1.0,2.0,36.0
NDUFAF7,1.0,3.0,4.0,3.0,0.0,0.0,4.0,1.0,29.0,2.0,0.0,4.0,2.0,2.0,2.0,34.0
NDUFB7,3.0,2.0,7.0,3.0,1.0,1.0,0.0,0.0,21.0,5.0,2.0,4.0,1.0,2.0,2.0,49.0
NDUFS2,4.0,5.0,0.0,2.0,3.0,3.0,2.0,2.0,30.0,2.0,3.0,2.0,13.0,1.0,3.0,55.0
NDUFS3,0.0,3.0,3.0,2.0,1.0,3.0,3.0,26.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0,40.0
NPRL3,3.0,23.0,17.0,6.0,4.0,15.0,4.0,17.0,2.0,9.0,6.0,17.0,3.0,5.0,5.0,93.0
OAZ1,3.0,3.0,2.0,4.0,1.0,4.0,3.0,2.0,8.0,2.0,2.0,3.0,1.0,9.0,9.0,43.0
OST4,3.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,8.0,22.0,4.0,9.0,6.0,1.0,1.0,48.0
PABPN1,7.0,4.0,5.0,8.0,0.0,4.0,3.0,25.0,2.0,24.0,14.0,12.0,23.0,2.0,4.0,96.0
PEX13,9.0,8.0,3.0,2.0,8.0,11.0,9.0,6.0,7.0,8.0,11.0,6.0,10.0,2.0,3.0,63.0
PEX16,6.0,10.0,9.0,7.0,3.0,6.0,15.0,16.0,10.0,9.0,6.0,9.0,3.0,0.0,1.0,78.0
PEX19,6.0,4.0,5.0,1.0,3.0,1.0,10.0,5.0,4.0,5.0,6.0,7.0,11.0,2.0,3.0,43.0
PINK1,12.0,4.0,3.0,5.0,8.0,4.0,3.0,2.0,10.0,5.0,11.0,7.0,10.0,7.0,10.0,84.0
PPWD1,8.0,16.0,3.0,3.0,3.0,1.0,11.0,2.0,10.0,5.0,2.0,6.0,3.0,10.0,9.0,76.0
PRPF38A,12.0,10.0,13.0,4.0,7.0,9.0,5.0,7.0,13.0,5.0,15.0,16.0,8.0,5.0,11.0,95.0
PSMA4,14.0,8.0,5.0,1.0,2.0,2.0,2.0,7.0,5.0,9.0,13.0,8.0,7.0,5.0,1.0,69.0
PSMB1,11.0,7.0,0.0,2.0,4.0,1.0,3.0,5.0,8.0,4.0,6.0,8.0,4.0,6.0,14.0,70.0
PSMB10,6.0,28.0,3.0,4.0,0.0,0.0,2.0,1.0,9.0,1.0,5.0,10.0,8.0,0.0,1.0,57.0
RAB2B,12.0,4.0,2.0,2.0,4.0,5.0,15.0,7.0,16.0,3.0,3.0,8.0,11.0,13.0,14.0,92.0
RAB3GAP1,4.0,5.0,1.0,2.0,5.0,7.0,3.0,2.0,2.0,1.0,5.0,5.0,0.0,3.0,10.0,39.0
RABL3,5.0,4.0,18.0,12.0,2.0,1.0,14.0,7.0,18.0,14.0,13.0,6.0,7.0,12.0,5.0,93.0
RIF1,3.0,17.0,12.0,16.0,7.0,9.0,8.0,5.0,16.0,8.0,7.0,8.0,11.0,8.0,11.0,94.0
RPL35,7.0,4.0,7.0,10.0,6.0,12.0,7.0,14.0,16.0,5.0,14.0,5.0,11.0,8.0,8.0,97.0
RPL36A,4.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,24.0,6.0,6.0,7.0,1.0,0.0,2.0,48.0
RPL39L,29.0,0.0,2.0,7.0,2.0,6.0,11.0,4.0,11.0,5.0,3.0,8.0,12.0,9.0,7.0,81.0
RPS3,4.0,9.0,5.0,10.0,3.0,6.0,16.0,2.0,6.0,9.0,12.0,8.0,7.0,10.0,4.0,88.0
RPS6KA1,3.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,7.0,0.0,5.0,9.0,8.0,7.0,3.0,42.0
RPS6KB2,0.0,0.0,0.0,0.0,0.0,6.0,5.0,14.0,2.0,0.0,12.0,5.0,0.0,6.0,2.0,34.0
SART1,4.0,3.0,15.0,10.0,3.0,9.0,2.0,19.0,12.0,7.0,2.0,4.0,5.0,2.0,8.0,71.0
SEH1L,5.0,2.0,15.0,4.0,2.0,12.0,9.0,8.0,6.0,12.0,21.0,3.0,10.0,8.0,8.0,84.0
SMARCAD1,2.0,2.0,6.0,2.0,0.0,2.0,3.0,1.0,8.0,4.0,2.0,1.0,3.0,14.0,2.0,34.0
SMG9,6.0,6.0,32.0,3.0,2.0,7.0,1.0,1.0,5.0,8.0,11.0,7.0,4.0,4.0,4.0,68.0
SNRPB,21.0,3.0,7.0,12.0,4.0,8.0,1.0,5.0,8.0,4.0,10.0,9.0,11.0,3.0,6.0,94.0
SP3,6.0,22.0,19.0,0.0,5.0,2.0,11.0,17.0,9.0,12.0,3.0,7.0,7.0,3.0,8.0,86.0
SPCS1,4.0,36.0,4.0,8.0,1.0,2.0,7.0,6.0,13.0,5.0,8.0,2.0,1.0,3.0,6.0,76.0
SPIDR,15.0,8.0,12.0,4.0,12.0,6.0,5.0,4.0,18.0,2.0,6.0,8.0,9.0,6.0,6.0,88.0
SSR1,2.0,7.0,4.0,2.0,1.0,0.0,4.0,6.0,4.0,29.0,9.0,2.0,9.0,0.0,2.0,58.0
STX5,2.0,9.0,11.0,20.0,2.0,5.0,7.0,10.0,5.0,7.0,7.0,8.0,4.0,2.0,4.0,71.0
SUPT7L,15.0,19.0,6.0,7.0,4.0,5.0,7.0,9.0,8.0,9.0,13.0,10.0,5.0,6.0,4.0,97.0
TBC1D23,24.0,1.0,6.0,9.0,3.0,4.0,5.0,3.0,13.0,3.0,7.0,11.0,9.0,10.0,9.0,79.0
TMEM106B,3.0,8.0,10.0,2.0,0.0,2.0,1.0,2.0,5.0,48.0,1.0,6.0,3.0,0.0,2.0,62.0
UBE2T,6.0,4.0,4.0,4.0,6.0,1.0,8.0,6.0,6.0,3.0,21.0,16.0,6.0,2.0,2.0,70.0
UBQLN2,1.0,5.0,11.0,2.0,0.0,1.0,3.0,1.0,16.0,14.0,12.0,6.0,2.0,1.0,1.0,51.0
UCP2,2.0,0.0,3.0,2.0,3.0,4.0,12.0,18.0,9.0,8.0,1.0,7.0,4.0,12.0,6.0,59.0
USP1,4.0,8.0,17.0,6.0,3.0,1.0,5.0,5.0,13.0,8.0,5.0,15.0,10.0,2.0,6.0,67.0
WARS2,7.0,0.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,7.0,4.0,5.0,2.0,10.0,5.0,50.0
YWHAH,5.0,8.0,1.0,2.0,4.0,3.0,3.0,1.0,6.0,2.0,3.0,6.0,8.0,2.0,3.0,49.0
